促销ID,促销名称,促销类型,产品ID,产品名称,初始价格,促销价格,折扣率,开始日期,结束日期,预算,实际花费,预计销售额增长率,实际销售额增长率,参与率,状态
PROMO001,春节大促-电动牙刷,节日促销,9,电动牙刷,299,254.15,15%,2025-09-13,2025-10-03,14565,31350,42%,62%,73%,进行中
PROMO002,新品首发-咖啡机,新品推广,3,咖啡机,1599,1519.05,5%,2025-08-19,2025-09-02,48713,41604,38%,75%,72%,已完成
PROMO003,会员专享-蓝牙耳机,会员活动,4,蓝牙耳机,799,719.1,9%,2025-07-29,2025-08-15,41999,30365,49%,72%,83%,已完成
PROMO004,双十一狂欢-智能手表,电商节,7,智能手表,2499,1749.3,30%,2025-08-20,2025-09-07,32867,31040,30%,23%,73%,已完成
PROMO005,618年中大促-蓝牙耳机,电商节,4,蓝牙耳机,799,599.25,25%,2025-09-06,2025-09-15,33473,16299,37%,63%,82%,已完成
PROMO006,新品首发-智能手表,新品推广,7,智能手表,2499,2374.05,5%,2025-08-29,2025-09-09,44933,32622,20%,48%,72%,已完成
PROMO007,清仓特卖-平板电脑,清仓处理,10,平板电脑,3599,2159.4,40%,2025-08-08,2025-08-18,16108,42596,62%,45%,92%,已完成
PROMO008,春节大促-蓝牙耳机,节日促销,4,蓝牙耳机,799,679.15,15%,2025-08-04,2025-09-03,27585,45552,45%,26%,63%,已完成
PROMO009,清仓特卖-蓝牙耳机,清仓处理,4,蓝牙耳机,799,479.4,40%,2025-08-06,2025-08-16,47660,41041,81%,75%,62%,已完成
PROMO010,清仓特卖-平板电脑,清仓处理,10,平板电脑,3599,2159.4,40%,2025-08-06,2025-08-28,31467,36650,83%,63%,73%,已完成
PROMO011,清仓特卖-运动鞋,清仓处理,5,运动鞋,499,299.4,40%,2025-08-17,2025-09-15,23687,39016,72%,51%,72%,已完成
PROMO012,双十一狂欢-办公椅,电商节,6,办公椅,1299,909.3,30%,2025-07-30,2025-08-25,39912,33261,26%,87%,93%,已完成
PROMO013,双十一狂欢-办公椅,电商节,6,办公椅,1299,909.3,30%,2025-08-18,2025-09-07,7265,46775,26%,57%,74%,已完成
PROMO014,春节大促-智能手表,节日促销,7,智能手表,2499,2124.15,15%,2025-09-13,2025-10-02,16428,26245,79%,94%,76%,进行中
PROMO015,春节大促-办公椅,节日促销,6,办公椅,1299,1104.15,15%,2025-08-06,2025-08-30,47247,36396,58%,85%,66%,已完成
PROMO016,双十一狂欢-平板电脑,电商节,10,平板电脑,3599,2519.3,30%,2025-09-13,2025-09-20,18594,31158,38%,78%,63%,已完成
PROMO017,新品首发-电动牙刷,新品推广,9,电动牙刷,299,284.05,5%,2025-08-16,2025-08-25,31825,16303,58%,17%,85%,已完成
PROMO018,春节大促-蓝牙耳机,节日促销,4,蓝牙耳机,799,679.15,15%,2025-09-11,2025-10-03,17264,22834,100%,38%,95%,进行中
PROMO019,新品首发-MacBook Air,新品推广,2,MacBook Air,9999,9499.05,5%,2025-08-20,2025-08-29,41586,46779,20%,55%,66%,已完成
PROMO020,春节大促-iPhone 15 Pro,节日促销,1,iPhone 15 Pro,7999,6799.15,15%,2025-09-11,2025-09-30,7440,38109,77%,82%,64%,进行中
PROMO021,双十一狂欢-书包,电商节,8,书包,299,209.3,30%,2025-08-01,2025-08-29,35945,32292,26%,94%,80%,已完成
PROMO022,清仓特卖-电动牙刷,清仓处理,9,电动牙刷,299,179.4,40%,2025-09-08,2025-09-26,23646,11110,66%,73%,88%,已完成
PROMO023,春节大促-咖啡机,节日促销,3,咖啡机,1599,1359.15,15%,2025-09-14,2025-10-09,5863,24103,21%,33%,63%,进行中
PROMO024,春节大促-平板电脑,节日促销,10,平板电脑,3599,3059.15,15%,2025-08-07,2025-09-01,35642,44780,79%,94%,75%,已完成
PROMO025,会员专享-办公椅,会员活动,6,办公椅,1299,1169.1,9%,2025-08-04,2025-09-03,17835,27349,94%,41%,84%,已完成
PROMO026,春节大促-办公椅,节日促销,6,办公椅,1299,1104.15,15%,2025-08-28,2025-09-13,31453,26613,73%,80%,85%,已完成
PROMO027,会员专享-蓝牙耳机,会员活动,4,蓝牙耳机,799,719.1,9%,2025-08-14,2025-08-31,8936,7282,27%,35%,60%,已完成
PROMO028,618年中大促-MacBook Air,电商节,2,MacBook Air,9999,7499.25,25%,2025-08-22,2025-09-14,46706,23123,99%,84%,77%,已完成
PROMO029,618年中大促-书包,电商节,8,书包,299,224.25,25%,2025-09-10,2025-10-01,46859,23237,70%,76%,93%,进行中
PROMO030,618年中大促-书包,电商节,8,书包,299,224.25,25%,2025-09-13,2025-09-23,49211,35612,69%,84%,91%,已完成
